numero;beneficiario;objeto;data_assinatura;vigencia;valor;contrapartida;valor_atualizado;valor_recebido
 006/2025; ASSOCIAÇÃO CULTURAL CULTURA EM MOVIMENTO; Tem por objeto a realização de 14 (catorze) eventos culturais e musicais durante a temporada de verão do Município de Balneário Gaivota/SC, no período compreendido entre dezembro de 2025 e fevereiro de 2026; 17/12/2025; 17/12/2025 a 28/02/2026;R$ 150.000,00;R$ 0,00;R$ 150.000,00;R$ 150.000,00
 05/2025; ASSOCIAÇÃO CULTURAL, BENEFICENTE E RECREATIVA DE BALNEÁRIO GAIVOTA; Desenvolver a celebração do Dia Nacional de Zumbi e da Consciência Negra, em 20 de Novembro, se consolida como um imperativo legal e social para a promoção da igualdade racial e o reconhecimento da contribuição histórica e cultural do povo negro para a formação do Brasil; 31/10/2025; 31/10/2025 a 31/12/2025;R$ 4.000,00;R$ 0,00;R$ 4.000,00;R$ 4.000,00
 04/2025; ASSOCIACAO DO GRUPO DA TERCEIRA IDADE ESPIRITO JOVEM DO MUNICIPIO DE BALNEARIO GAIVOTA/SC; Colaboração entre as partes, com finalidade desenvolver atividades volvidas a terceira idade com serviços de assistência social e voltadas a promover através da participação, integração, cooperação dos associados Eventos Culturais, Sociais e Recreativos e à construção de uma sociedade justa e solidária do Município de Balneário Gaivota/SC; 26/08/2025; 26/08/2025 a 31/12/2025;R$ 5.000,00;R$ 0,00;R$ 5.000,00;R$ 5.000,00
 01/2025; INSTITUTO MARIA SCHMITT DE DESENVOLVIMENTO DE ENSI; REFERENTE A MANUTENÇÃO HOSPITALAR DE URGÊNCIA E EMERGÊNCIA (PRONTO SOCORRO- 24 HORAS), DE FORMA COMPLEMENTAR AO SUS, COM OS SEGUINTES SERVIÇOS: CONSULTAS, SUTURAS, DRENAGENS, PEQUENAS CIRURGIAS, OBSERVAÇÃO EM AMBULATÓRIO, TRAUMATIZADOS E CURATIVOS ENTRE OUTROS, SENDO QUE OS REFERIDOS SERVIÇOS SERÃO FEITOS NAS INSTALAÇÕES DO HOSPITAL DOM JOAQUIM, AOS MUNÍCIPES DE BALNEÁRIO GAIVOTA - SC.; 20/05/2025; 20/05/2025 a 31/12/2025;R$ 330.000,00;R$ 0,00;R$ 330.000,00;R$ 206.250,00
 02/2025; APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE SOMBRIO; Desenvolver atividades voltadas a promover e articular ações de defesa de direitos e prevenção, orientações, prestação de serviços, apoio à família, direcionadas à melhoria da qualidade de vida da pessoa com deficiência e à construção de uma sociedade justa e solidária; 20/03/2025; 20/03/2025 a 31/12/2025;R$ 60.000,00;R$ 0,00;R$ 60.000,00;R$ 100.000,00
 03/2025; ORGANIZAÇÃO NÃO GOVERNAMENTAL EDUCAMAR; Serviços ambientais e atividades voltadas para resgate de fauna e pesquisa no âmbito do município, contemplando ainda atendimentos e repousos isolados aos animais doentes e/ou debilitados; 18/03/2025; 18/03/2025 a 31/12/2025;R$ 36.000,00;R$ 0,00;R$ 36.000,00;R$ 36.000,00
 01/2025; ASSOCIAÇÃO IRMÃ CARMEN; Promover o atendimento de no mínimo 03 (três) vagas para crianças e adolescentes oriundas do município de Balneário Gaivota/SC, em situação de acolhimento institucional em modalidade de casas lares instaladas na cidade de Sombrio-SC, nas situações previstas pela Lei n 8.069 de 13 de julho de 1990  Estatuto da Criança e do Adolescente de acordo com as orientações da Resolução CNAS 109/09; 17/01/2025; 17/01/2025 a 31/12/2025;R$ 262.877,16;R$ 0,00;R$ 262.877,16;R$ 242.655,84
 001/2023; ASSOC. TERAPÊUTICA E MISSIONARIA - MAGNIFICAT; DESENVOLVER ATIVIDADES VOLTADAS NO ACOLHIMENTO DE USUÁRIOS DE DROGAS LÍCITAS E ILÍCITAS, DO MUNICÍPIO DE BALNEÁRIO GAIVOTA/SC.; 21/03/2023; 21/03/2023 a 31/12/2023;R$ 30.000,00;R$ 0,00;R$ 30.000,00;R$ 103.400,00
 03/2023; CONSELHO DE DESENVOLVIMENTO AGROPECUARIO DO CAVERA; PRESTAÇÃO DE SERVIÇO AOS PRODUTORES RURAIS ASSOCIADOS, PROMOVENDO ASSISTÊNCIA TÉCNICA E OPERACIONAL, VISANDO A CRIAÇÃO DE NOVAS CONDIÇÕES PARA O DESENVOLVIMENTO AGRÍCOLA, PROPORCIONANDO CONDIÇÕES PARA AUMENTAR A FONTE DE RENDA DE SEUS ASSOCIADOS.; 21/03/2023; 21/03/2023 a 31/12/2023;R$ 161.500,00;R$ 0,00;R$ 161.500,00;R$ 161.500,00
 02/2023; CONSELHO DE DESENV. AGROPECUÁRIO DO CAMPO; PRESTAÇÃO DE SERVIÇO AOS PRODUTORES RURAIS ASSOCIADOS, PROMOVENDO ASSISTÊNCIA TÉCNICA E OPERACIONAL, VISANDO A CRIAÇÃO DE NOVAS CONDIÇÕES PARA O DESENVOLVIMENTO AGRÍCOLA, PROPORCIONANDO CONDIÇÕES PARA AUMENTAR A FONTE DE RENDA DE SEUS ASSOCIADOS.; 20/03/2023; 20/03/2023 a 31/12/2023;R$ 178.500,00;R$ 0,00;R$ 178.500,00;R$ 305.000,00
 04-08/2021; ASSOCIAÇÃO IRMÃ CARMEN - CASA LAR; REFERENTE A REPASSE PARA COOPERAÇÃO TÉCNICO FINANCEIRA PARA ATENDIMENTO DE CRIANÇAS E ADOLESCENTES DO MUNICÍPIO DE BALNEÁRIO GAIVOTA ACOLHIDAS PELA ASSOCIAÇÃO, CONFORME PREVISTO NA LEI Nº 8.069 DE 13 DE JULHO DE 1990 - ESTATUTO DA CRIANÇA E DO ADOLESCENTE, DE ACORDO COM AS ORIENTAÇÕES DA RESOLUÇÃO CNAS 109/09.; 01/01/2023; 01/01/2023 a 30/06/2023;R$ 155.000,00;R$ 0,00;R$ 155.000,00;R$ 470.322,47
 06/2022; RESIDENCIA INCLUSIVA MARIA & MARIA LTDA; REFERENTE AO REPASSE PARA O DESENVOLVIMENTO DE SERVIÇO DE ACOLHIMENTO INSTITUCIONAL NO ÂMBITO ESPECIAL DE MÉDIA E ALTA COMPLEXIDADE NA MODALIDADE DE RESIDÊNCIA INCLUSIVA, A QUEM NÃO DISPÕEM DE CONDIÇÕES DE CONVIVIO FAMILIAR OU QUEM ESTEJAM EM PROCESSO DE DESLIGAMENTO DE INSTITUIÇÕES DE LONGA PERMANÊNCIA.; 29/04/2022; 29/04/2022 a 31/07/2022;R$ 9.000,00;R$ 0,00;R$ 9.000,00;R$ 0,00
 05/2022; ASSOCIACAO TURMA DO BEM BALNEARIO GAIVOTA; REFERENTE AO REPASSE PARA  O DESENVOLVIMENTO DE AÇÕES PARA A PREVENÇÃO E CUIDADOS AOS ANIMAIS ABANDONADOS OU DE FAMÍLIAS DE CONSIDERADA VULNERABILIDADE ECONÔMICA E SOCIAL, PRESTANDO AUXILIO NAS DESPESAS COM CASTRAÇÕES, ESTADIA DE ANIMAIS ABANDONADOS OU EM IDENTIFICADA SITUAÇÃO DE MAUS TRATOS, REALIZAÇÃO DE CAMPANHAS EDUCATIVAS E DE CONSCIENTIZAÇÃO À POPULAÇÃO SOBRE CUIDADOS, ZELO E RESPONSABILIDADE PARA COM OS ANIMAIS, BEM COMO, CAMPANHAS INCENTIVANDO A ADOÇÃO CONSCIENTE, COIBIÇÃO AOS MAUS TRATOS E ABANDONO. TUDO ISSO COMO MEIO DE PROMOVER O CONTROLE DA NATALIDADE DE ANIMAIS DOMÉSTICOS, EVITANDO A PROLIFERAÇÃO DE DOENÇAS, CONSCIENTIZANDO A POPULAÇÃO EM RELAÇÃO AO POSSE RESPONSÁVEL, E AMENIZANDO OS CASOS DE MAUS TRATOS E ABANDONO NO MUNICÍPIO DE BALNEÁRIO GAIVOTA.; 05/04/2022; 05/04/2022 a 31/12/2022;R$ 50.000,00;R$ 0,00;R$ 50.000,00;R$ 0,00
 04/2022; APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE SOMBRIO; REFERENTE AO REPASSE, VISANDO  O DESENVOLVIMENTO DE ATIVIDADES VOLTADAS A PROMOVER E ARTICULAR AÇÕES DE DEFESA DE DIREITOS E PREVENÇÃO, ORIENTAÇÕES, PRESTAÇÃO DE SERVIÇOS, APOIO À FAMÍLIA, DIRECIONADAS À MELHORIA DA QUALIDADE DE VIDA DA PESSOA COM DEFICIÊNCIA E À CONSTRUÇÃO DE UMA SOCIEDADE JUSTA E SOLIDÁRIA.; 01/04/2022; 01/04/2022 a 31/12/2022;R$ 90.000,00;R$ 0,00;R$ 90.000,00;R$ 0,00
 003/2022; LAR BENEFICENTE IDOSO SÃO JOSÉ; REFERENTE AO REPASSE PARA O DESENVOLVIMENTO DE SERVIÇO DE ACOLHIMENTO INSTITUCIONAL NA MODALIDADE ILPI: INSTITUIÇÃO DE LONGA PERMANÊNCIA PARA IDOSOS DE AMBOS OS SEXOS, DOMICILIADOS EM BALNEÁRIO GAIVOTA E QUE NECESSITEM DE ATENDIMENTO EXCLUSIVO.; 21/02/2022; 21/02/2022 a 31/12/2022;R$ 36.000,00;R$ 0,00;R$ 36.000,00;R$ 0,00
 01/2022; CONSELHO DE DESENVOLVIMENTO AGROPECUARIO DO CAVERA; REFERENTE A REPASSE PARA A PRESTAÇÃO DE SERVIÇOS AOS PRODUTORES RURAIS ASSOCIADOS, PROMOVENDO ASSISTÊNCIA TÉCNICA E OPERACIONAL, VISANDO A CRIAÇÃO DE NOVAS CONDIÇÕES PARA O DESENVOLVIMENTO AGRÍCOLA, PROPORCIONANDO MAIOR FONTE DE RENDA AOS SEUS ASSOCIADOS.; 01/02/2022; 01/02/2022 a 31/12/2022;R$ 116.500,00;R$ 0,00;R$ 116.500,00;R$ 0,00
 02/2022; CONSELHO DE DESENV. AGROPECUÁRIO DO CAMPO; REFERENTEA REPASSE PARA  A PRESTAÇÃO DE SERVIÇOS AOS PRODUTORES RURAIS ASSOCIADOS, PROMOVENDO ASSISTÊNCIA TÉCNICA E OPERACIONAL, VISANDO A CRIAÇÃO DE NOVAS CONDIÇÕES PARA O DESENVOLVIMENTO AGRÍCOLA, PROPORCIONANDO MAIOR FONTE DE RENDA AOS SEUS ASSOCIADOS.; 01/02/2022; 01/02/2022 a 31/12/2022;R$ 126.000,00;R$ 0,00;R$ 126.000,00;R$ 0,00
 01-04/2021; ASSOCIAÇÃO TERAPÊUTICA E MISSIONÁRIA MAGNIFICAT; DESENVOLVER ATIVIDADES VOLTADAS NO ACOLHIMENTO DE USUÁRIOS DE DROGAS LÍCITAS E ILÍCITAS, DO MUNICÍPIO DE BALNEÁRIO GAIVOTA/SC.; 01/01/2022; 01/01/2022 a 31/12/2022;R$ 22.000,00;R$ 0,00;R$ 22.000,00;R$ 28.000,00
 01-01/2021; INSTITUTO MARIA SCHMITT DE DESENVOLVIMENTO DE ENSI;" REFERENTE A MANUTENÇÃO HOSPITALAR DE URGÊNCIA E EMERGÊNCIA (PRONTO-SOCORRO - 24 HORAS), DE FORMA COMPLEMENTAR AO SUS, COM OS SEGUINTES SERVIÇOS: CONSULTAS, SUTURAS, DRENAGENS, PEQUENAS CIRURGIAS, OBSERVAÇÃO EM AMBULATÓRIO, TRAUMATIZADOS E CURATIVOS ENTRE OUTROS, SENDO QUE OS REFERIDOS SERVIÇOS SERÃO FEITOS NAS INSTALAÇÕES DO HOSPITAL ""DOM JOAQUIM"", AOS MUNÍCIPES DE BALNEÁRIO GAIVOTA - SC."; 01/01/2022; 01/01/2022 a 31/12/2022;R$ 330.000,00;R$ 0,00;R$ 330.000,00;R$ 715.000,00
 01-08/2021; ASSOCIAÇÃO IRMÃ CARMEN - CASA LAR; REFERENTE A REPASSE PARA COOPERAÇÃO TÉCNICO FINANCEIRA PARA ATENDIMENTO DE CRIANÇAS E ADOLESCENTES DO MUNICÍPIO DE BALNEÁRIO GAIVOTA ACOLHIDAS PELA ASSOCIAÇÃO, CONFORME PREVISTO NA LEI Nº 8.069 DE 13 DE JULHO DE 1990 - ESTATUTO DA CRIANÇA E DO ADOLESCENTE, DE ACORDO COM AS ORIENTAÇÕES DA RESOLUÇÃO CNAS 109/09.; 01/01/2022; 01/01/2022 a 30/06/2022;R$ 78.653,70;R$ 0,00;R$ 78.653,70;R$ 65.544,75
